dataset,model,experiment_type,timestamp,accuracy,accuracy_train,f1_weighted,f1_weighted_train,f1_macro,f1_macro_train,precision_weighted,precision_weighted_train,precision_macro,precision_macro_train,recall_weighted,recall_weighted_train,recall_macro,recall_macro_train,roc_auc,roc_auc_train,log_loss,log_loss_train,n_samples_test,n_samples_train,n_features,n_classes,n_estimators,random_state
flights,bagging_10,BASELINE,20250607_132208,0.9207345241761626,0.9965641361256544,0.9202757654897878,0.996562894958697,0.9187103564092618,0.9964994443054519,0.9222520373840069,0.9965754757731508,0.9248411207364646,0.9968653272056491,0.9207345241761626,0.9965641361256544,0.915105759096178,0.9961478926482821,0.9689755168436891,0.9999695793363249,0.6378281015269217,0.02436504555165036,25976,103904,22,2,10,42
flights,bagging_50,BASELINE,20250607_132208,0.919695103172159,0.9998941330458885,0.9192700439347932,0.9998941315231992,0.9177105094643656,0.999892213765102,0.9209448868047926,0.9998941528206635,0.9232376033067884,0.9999066055357446,0.919695103172159,0.9998941330458885,0.9143606120210475,0.9998778456413104,0.9773736741001565,0.9999999920785416,0.30249277043727346,0.02320858609929039,25976,103904,22,2,50,42
flights,bagging_100,BASELINE,20250607_132208,0.9201185709886048,0.9999903757314444,0.9196709616445703,0.9999903757188697,0.9181030924505491,0.9999902015075208,0.9215310053323542,0.9999903758948999,0.9240047163100813,0.999991508152174,0.9201185709886048,0.9999903757314444,0.9145949510289755,0.9999888950583009,0.9786470535481137,0.9999999998113939,0.2554605045187471,0.023101987617138196,25976,103904,22,2,100,42
flights,random_forest_10,BASELINE,20250607_132208,0.940291037881121,0.9971030951647675,0.9399445433415287,0.9971020959106297,0.9387647499038183,0.9970486454595676,0.9420988863914969,0.9971137279202491,0.9451766950799458,0.9973981028129957,0.940291037881121,0.9971030951647675,0.9349483874375324,0.9967122844911829,0.982980966694699,0.9999802046525763,0.29809715235444034,0.029817802252369612,25976,103904,22,2,10,42
flights,random_forest_50,BASELINE,20250607_132208,0.9489528795811518,0.9999230058515552,0.9487127970832611,0.9999230050463465,0.947742055350718,0.9999216106259048,0.9502560658844014,0.9999230163114732,0.9528906963571699,0.9999320732929169,0.9489528795811518,0.9999230058515552,0.9444422269149599,0.9999111604664075,0.9885383031942192,0.9999999992455755,0.16905934820747964,0.029203497042159063,25976,103904,22,2,50,42
flights,random_forest_100,BASELINE,20250607_132208,0.9501847859562673,0.9999807514628888,0.9499504973044797,0.9999807514125858,0.9490031822200823,0.99998040296383,0.9515020026197255,0.9999807521167002,0.9541649980426609,0.9999830165927888,0.9501847859562673,0.9999807514628888,0.9456927570835338,0.9999777901166018,0.9895392996141636,1.0,0.15449497917301067,0.029187148399379914,25976,103904,22,2,100,42
credit_cards,bagging_10,BASELINE,20250607_132208,0.9995172262453369,0.999917707213237,0.9994908616871748,0.999916708591628,0.913941636817123,0.9878238003522589,0.99949578847354,0.9999177139965414,0.9647145350027233,0.9999587855474653,0.9995172262453369,0.999917707213237,0.8731954796096741,0.9762658227848101,0.9222615634022603,0.9999988695526351,0.009546474696031352,0.0004120491330123062,45570,182276,30,2,10,42
credit_cards,bagging_50,BASELINE,20250607_132208,0.9996050032916393,0.9999835414426475,0.9995834322895067,0.9999835022611436,0.9295886119412824,0.9976111405701149,0.999594331656804,0.9999835417139976,0.982280366396183,0.9999917565658953,0.9996050032916393,0.9999835414426475,0.8873019651569497,0.995253164556962,0.9218860714784322,0.9999999913042511,0.009499774162742634,0.00039377375560932705,45570,182276,30,2,50,42
credit_cards,bagging_100,BASELINE,20250607_132208,0.9996269475532148,1.0,0.9996049476385978,1.0,0.9329774728902187,1.0,0.9996211853403539,1.0,0.9908956584787099,1.0,0.9996269475532148,1.0,0.8873129544094608,1.0,0.9215958623452178,1.0,0.009492586186279099,0.0003992119316779092,45570,182276,30,2,100,42
credit_cards,random_forest_10,BASELINE,20250607_132208,0.9995830590300636,0.9999231933990212,0.9995584708901976,0.9999223248986582,0.9250924697008327,0.9886539049018153,0.9995714261221416,0.9999231993080655,0.9819561014193435,0.9999615329662479,0.9995830590300636,0.9999231933990212,0.880259711635823,0.9778481012658228,0.9221594097873688,0.999998634767413,0.009661283122193762,0.000464251615066173,45570,182276,30,2,10,42
credit_cards,random_forest_50,BASELINE,20250607_132208,0.9996050032916393,0.9999780552568632,0.9995834322895067,0.999977985489747,0.9295886119412824,0.9968097909712653,0.999594331656804,0.9999780557392607,0.982280366396183,0.9999890088149304,0.9996050032916393,0.9999780552568632,0.8873019651569497,0.9936708860759493,0.9213853639872599,1.0,0.009549998471763266,0.00043029072972843,45570,182276,30,2,50,42
credit_cards,random_forest_100,BASELINE,20250607_132208,0.9995830590300636,1.0,0.9995584708901976,1.0,0.9250924697008327,1.0,0.9995714261221416,1.0,0.9819561014193435,1.0,0.9995830590300636,1.0,0.880259711635823,1.0,0.9274975552782618,1.0,0.008879956581472248,0.0004316099903617476,45570,182276,30,2,100,42
human_activity,bagging_10,BASELINE,20250607_132208,0.8917543264336614,0.9983677910772579,0.8911278259424017,0.9983678629468007,0.8892918250534807,0.9984107769850855,0.8925268643237241,0.9983704850605207,0.8917203664681238,0.9983925167222258,0.8917543264336614,0.9983677910772579,0.8889231554140443,0.9984313916440687,,,0.9564144911095963,0.029108203444923614,2947,7352,562,6,10,42
human_activity,bagging_50,BASELINE,20250607_132208,0.8961655921275874,0.9998639825897715,0.8957182460182996,0.9998639808769674,0.8943139820692595,0.9998745462737247,0.8976433923940321,0.9998640815115244,0.8977123827427103,0.9998787878787878,0.8961655921275874,0.9998639825897715,0.8933199915592009,0.9998703991705548,,,0.40020621108655674,0.026843385552730963,2947,7352,562,6,50,42
human_activity,bagging_100,BASELINE,20250607_132208,0.8985408890397014,1.0,0.8981475614692325,1.0,0.8970358086216222,1.0,0.8999720670503075,1.0,0.9002993782458998,1.0,0.8985408890397014,1.0,0.896012105458133,1.0,,,0.3131193243930688,0.02666112436626078,2947,7352,562,6,100,42
human_activity,random_forest_10,BASELINE,20250607_132208,0.9022734984730234,0.999455930359086,0.9020197664783675,0.9994559234307142,0.8997894753657082,0.9994247253206376,0.9040538635007958,0.9994563257585343,0.9035253874720861,0.9994333910659563,0.9022734984730234,0.999455930359086,0.8985044468502436,0.9994164374690812,,,0.3810312252693683,0.03800586118013108,2947,7352,562,6,10,42
human_activity,random_forest_50,BASELINE,20250607_132208,0.9250084832032576,1.0,0.9249414357216247,1.0,0.9233042714565781,1.0,0.9266073961828271,1.0,0.9266193636333894,1.0,0.9250084832032576,1.0,0.9218996129265848,1.0,,,0.25662382538147055,0.03814561571681804,2947,7352,562,6,50,42
human_activity,random_forest_100,BASELINE,20250607_132208,0.9270444519850696,1.0,0.9269283644227584,1.0,0.9253015742990467,1.0,0.928436272771125,1.0,0.9284127898380755,1.0,0.9270444519850696,1.0,0.9239942005508338,1.0,,,0.25551429369123735,0.037732702459785425,2947,7352,562,6,100,42
